House_ID,Area_sqft,Bedrooms,Bathrooms,Floors,House_Age,Garage,Parking,Location,Furnished,Garden,Condition,Distance_to_City_km,Price
H00033,1339,2,1,2,28,1,1,Urban,No,No,Good,3.6,413565
H00034,2989,3,4,2,14,0,0,Rural,Yes,Yes,Good,9.4,677499
H00035,606,5,5,2,26,2,2,Rural,Yes,No,Excellent,18.5,285508
H00036,3167,6,1,2,32,0,2,Urban,No,Yes,Average,13.9,768496
H00037,4974,2,4,3,4,1,1,Rural,No,No,Needs Renovation,9.2,979189
H00038,1938,4,1,2,1,1,1,Suburban,Yes,Yes,Good,30.0,552269
H00039,1430,3,1,1,23,0,2,Suburban,Yes,No,Needs Renovation,3.7,376178
H00040,4855,5,1,3,34,0,2,Suburban,No,No,Good,1.2,1023361
H00041,1426,4,4,2,11,1,3,Urban,No,Yes,Good,27.6,508142
H00042,1662,1,2,3,17,3,1,Suburban,No,Yes,Excellent,4.5,506947
H00043,3825,3,5,1,40,1,2,Suburban,No,Yes,Good,9.9,856784
H00044,4097,2,4,1,27,0,1,Urban,Yes,Yes,Excellent,14.0,988300
H00045,3882,5,4,3,34,2,0,Urban,Yes,No,Excellent,28.2,950611
H00046,855,2,1,1,33,0,0,Suburban,No,No,Average,20.2,227462
H00047,4111,6,1,1,2,1,1,Rural,Yes,No,Average,15.8,871388
H00048,2923,4,2,3,33,0,0,Rural,Yes,Yes,Needs Renovation,27.4,562360
H00049,4527,1,3,2,29,2,2,Rural,No,Yes,Good,2.2,904533
H00050,1393,4,3,2,11,0,4,Urban,Yes,No,Good,15.7,497796
H00051,4598,5,2,3,33,3,2,Suburban,No,No,Average,20.6,954524
H00052,2527,1,1,3,33,1,2,Urban,Yes,Yes,Good,20.9,649815
H00053,2064,5,2,3,11,3,4,Rural,Yes,No,Good,9.0,558211
H00054,4194,2,1,2,30,3,2,Urban,No,No,Excellent,29.4,942059
H00055,4399,1,1,1,22,2,2,Urban,No,No,Good,1.9,979301
H00056,4276,2,4,2,40,0,2,Rural,Yes,No,Average,16.8,817125
H00057,3434,2,1,1,35,1,4,Urban,No,No,Needs Renovation,21.4,712801
H00058,2143,2,3,1,21,3,3,Urban,No,Yes,Average,15.8,602713
H00059,1439,2,3,1,7,2,1,Urban,Yes,Yes,Needs Renovation,24.7,464552
H00060,4178,4,1,2,3,0,2,Rural,No,No,Average,11.7,824515
H00061,3328,5,2,1,1,3,3,Rural,No,Yes,Good,24.3,747814
H00062,2951,2,3,3,30,2,1,Rural,Yes,No,Good,7.0,639356
H00063,4498,5,2,2,10,1,3,Suburban,No,No,Needs Renovation,14.4,942393
H00064,4174,6,3,1,25,3,0,Rural,No,No,Good,7.8,878039
H00065,1919,6,4,3,28,2,4,Urban,No,Yes,Good,27.3,610024
H00066,1279,5,4,3,4,2,3,Rural,Yes,Yes,Average,21.3,385491
H00067,1744,3,4,1,10,3,2,Rural,Yes,Yes,Average,6.5,498153
H00068,1002,3,2,3,28,0,1,Urban,No,Yes,Average,2.1,383929
H00069,938,3,2,1,11,3,3,Urban,Yes,Yes,Good,20.0,440801
H00070,1876,2,3,1,28,1,4,Suburban,No,Yes,Needs Renovation,10.0,461383
H00071,1908,5,2,1,14,2,3,Rural,Yes,Yes,Good,16.4,504350
H00072,4684,6,1,1,19,1,0,Suburban,No,Yes,Good,24.0,1020418
H00073,1238,3,3,3,19,2,1,Urban,Yes,Yes,Excellent,20.1,480792
H00074,3959,5,3,2,4,1,3,Suburban,Yes,No,Average,3.8,947529
H00075,799,2,3,2,8,3,3,Suburban,Yes,No,Needs Renovation,29.7,268188
H00076,1619,2,3,3,16,2,4,Rural,Yes,Yes,Excellent,19.7,447484
H00077,3665,4,4,2,9,1,1,Urban,No,Yes,Needs Renovation,22.9,874620
H00078,2597,6,4,2,24,1,2,Rural,No,No,Needs Renovation,20.9,521410
H00079,2492,4,2,3,38,1,1,Rural,No,No,Average,29.1,455825
H00080,4419,3,4,3,3,1,0,Suburban,Yes,No,Good,15.3,987712
H00081,2582,5,2,1,17,3,4,Suburban,Yes,No,Needs Renovation,8.5,643362
H00082,1706,1,2,3,28,2,0,Suburban,Yes,No,Average,28.3,409508
H00083,4543,5,1,1,15,1,3,Suburban,Yes,Yes,Needs Renovation,2.2,1007255
H00084,1675,2,2,1,4,0,4,Rural,No,No,Average,19.5,358164
H00085,3256,4,2,3,39,1,1,Urban,Yes,No,Average,26.0,761284
H00086,1722,5,4,2,8,1,1,Urban,No,Yes,Average,4.1,594686
H00087,1060,6,1,2,39,0,4,Suburban,No,Yes,Good,19.4,349946
H00088,3974,2,4,3,40,2,1,Rural,No,No,Needs Renovation,17.9,726775
H00089,4577,3,5,3,23,1,3,Suburban,Yes,Yes,Good,19.6,1013222
H00090,3554,4,4,3,13,1,2,Urban,Yes,Yes,Good,26.3,894101
H00091,2747,2,4,1,37,3,3,Rural,Yes,Yes,Excellent,22.4,648573
H00092,2459,6,2,1,3,3,2,Suburban,Yes,No,Needs Renovation,17.3,611107
H00093,3147,6,4,3,11,3,1,Suburban,Yes,No,Excellent,6.4,854407
H00094,3398,4,1,1,31,0,4,Rural,Yes,No,Excellent,5.7,734432
H00095,1684,3,2,2,15,1,1,Suburban,Yes,Yes,Excellent,15.7,524121
H00096,3299,5,2,3,10,3,3,Rural,Yes,Yes,Needs Renovation,4.2,726425
H00097,3475,6,1,1,28,1,4,Urban,Yes,Yes,Good,5.8,910877
H00098,3110,1,2,1,0,2,2,Suburban,Yes,Yes,Average,1.4,742439
H00099,2890,1,5,3,33,3,1,Suburban,No,No,Good,17.1,669637
H00100,917,1,1,1,6,3,3,Urban,Yes,Yes,Average,22.1,369084
H00101,1658,6,5,1,39,2,2,Urban,No,Yes,Excellent,9.0,611298
H00102,1232,3,4,3,29,2,0,Urban,No,Yes,Average,16.5,446049
H00103,3264,4,5,2,10,1,1,Rural,No,No,Excellent,3.7,757117
H00104,4249,4,2,3,24,2,2,Rural,No,Yes,Excellent,13.7,891709
H00105,1737,4,4,1,29,0,2,Urban,Yes,Yes,Excellent,18.8,605299
H00106,2906,3,2,2,27,2,0,Urban,Yes,No,Average,13.3,710026
H00107,2745,2,3,2,34,1,3,Urban,Yes,Yes,Good,15.9,723379
H00108,1676,3,2,2,5,3,2,Urban,No,No,Good,1.2,574534
H00109,663,6,2,2,27,1,2,Suburban,No,Yes,Good,29.4,292994
H00110,2448,1,1,2,18,1,3,Rural,Yes,Yes,Needs Renovation,25.1,454310
H00111,1810,1,2,1,35,0,0,Urban,Yes,No,Needs Renovation,20.4,456595
H00112,4792,3,2,3,26,3,0,Urban,No,Yes,Needs Renovation,18.4,1030726
H00113,4728,5,1,3,11,1,1,Suburban,Yes,No,Excellent,12.7,1057104
H00114,3168,5,4,3,29,2,1,Urban,Yes,No,Average,26.5,787155
H00115,3640,6,1,1,19,3,3,Urban,No,No,Good,7.0,922803
H00116,1586,5,5,3,24,2,0,Rural,Yes,Yes,Excellent,7.4,508154
H00117,2248,2,3,2,18,1,4,Urban,Yes,No,Average,13.6,607925
H00118,716,3,4,2,36,2,4,Suburban,No,No,Needs Renovation,5.4,243825
H00119,1358,4,1,2,13,0,0,Suburban,Yes,Yes,Good,10.0,444829
H00120,2777,5,2,2,34,1,4,Suburban,Yes,No,Average,9.2,655450
H00121,1124,5,1,2,5,2,0,Rural,Yes,Yes,Needs Renovation,16.0,299866
H00122,2926,3,3,3,26,2,4,Urban,Yes,Yes,Needs Renovation,29.3,708855
H00123,758,2,3,2,39,3,0,Suburban,No,Yes,Good,14.9,283781
H00124,3515,3,3,3,23,0,0,Rural,Yes,No,Average,6.5,733343
H00125,2647,4,3,3,34,1,2,Rural,No,No,Needs Renovation,21.3,516691
H00126,4602,1,5,3,6,3,4,Urban,No,No,Excellent,8.9,1089860
H00127,1617,2,4,2,9,2,0,Rural,Yes,No,Excellent,13.7,450888
H00128,1047,6,4,3,11,1,0,Urban,Yes,Yes,Excellent,19.7,487076
H00129,1891,1,2,2,2,1,3,Suburban,No,Yes,Average,2.4,514782
H00130,2539,5,1,2,39,0,4,Urban,Yes,Yes,Average,5.5,703097
H00131,4894,4,4,1,3,1,0,Rural,Yes,Yes,Needs Renovation,23.3,980789
H00132,2314,5,1,2,38,0,3,Suburban,No,No,Average,29.5,494514
H00133,4047,4,2,1,38,3,2,Rural,Yes,No,Average,11.2,830896
H00134,1439,6,1,2,5,3,4,Suburban,No,No,Needs Renovation,24.7,384550
H00135,3415,1,2,2,26,3,3,Rural,No,No,Average,27.5,654377
H00136,4563,2,5,2,21,3,0,Suburban,No,Yes,Good,23.3,983082
H00137,3396,5,4,3,2,3,1,Suburban,No,Yes,Excellent,14.1,868668
H00138,1364,4,5,1,20,1,2,Rural,Yes,Yes,Good,27.4,374848
H00139,3547,3,5,1,39,3,3,Suburban,Yes,Yes,Average,25.5,795956
H00140,3675,3,5,3,3,0,0,Urban,No,Yes,Good,4.7,922695
H00141,3223,4,1,2,3,0,4,Urban,Yes,No,Average,22.0,804277
H00142,3376,4,5,2,17,0,0,Suburban,No,Yes,Good,20.4,788150
H00143,4049,2,3,2,24,1,1,Urban,No,No,Good,29.5,904013
H00144,4283,5,3,3,34,2,2,Suburban,Yes,Yes,Average,20.6,942515
H00145,4336,1,2,3,1,0,1,Urban,Yes,No,Good,3.8,1015664
H00146,4989,5,1,1,38,1,1,Rural,Yes,No,Good,18.8,1004114
H00147,2119,1,1,2,40,2,1,Rural,Yes,No,Needs Renovation,11.6,375996
H00148,1086,6,1,3,32,2,4,Rural,No,No,Excellent,26.8,323102
H00149,4957,3,4,3,1,2,2,Urban,No,No,Average,25.5,1087187
H00150,3955,6,1,1,28,0,3,Rural,No,Yes,Needs Renovation,19.3,777334
H00151,3598,6,5,2,34,2,2,Suburban,No,No,Average,16.1,827847
H00152,2212,5,2,3,39,0,1,Rural,No,Yes,Needs Renovation,21.6,416837
H00153,3045,3,5,1,16,1,4,Suburban,No,Yes,Needs Renovation,8.5,694819
H00154,3501,2,4,3,3,0,4,Suburban,Yes,No,Good,20.0,835155
H00155,2267,3,4,1,22,0,0,Suburban,No,No,Excellent,17.9,590619
H00156,2363,6,3,1,21,0,2,Rural,No,No,Good,8.7,551048
H00157,1431,3,5,2,17,2,1,Suburban,Yes,Yes,Needs Renovation,21.3,417544
H00158,1783,1,5,2,5,3,0,Rural,Yes,No,Needs Renovation,3.1,421832
H00159,2998,3,4,1,35,1,3,Suburban,No,No,Good,13.4,694331
H00160,4171,4,1,3,25,3,2,Urban,Yes,No,Needs Renovation,16.1,937403
H00161,648,4,5,3,32,2,3,Rural,Yes,No,Needs Renovation,3.0,250657
H00162,2738,1,1,1,7,2,1,Urban,Yes,Yes,Excellent,21.6,727883
H00163,4392,6,1,2,20,0,0,Suburban,No,Yes,Excellent,3.2,992077
H00164,3369,6,2,3,0,2,0,Urban,No,Yes,Average,15.4,854805
H00165,1481,2,5,2,25,3,4,Suburban,Yes,Yes,Average,4.3,476421
H00166,2460,3,1,1,40,0,3,Suburban,No,Yes,Needs Renovation,9.3,536330
H00167,3382,5,2,2,11,3,2,Suburban,No,No,Excellent,12.3,829815
H00168,2830,3,4,3,10,1,0,Suburban,Yes,Yes,Good,5.9,740106
H00169,2465,4,3,2,31,2,1,Suburban,No,No,Excellent,8.7,618762
H00170,2454,5,5,1,3,1,1,Urban,No,Yes,Needs Renovation,1.4,722961
H00171,4289,6,3,1,16,0,2,Suburban,Yes,No,Excellent,13.0,1007506
H00172,3671,2,4,1,36,2,4,Rural,Yes,Yes,Average,4.4,794558
H00173,4556,6,5,3,20,1,1,Rural,Yes,No,Excellent,17.8,985865
H00174,2382,5,4,2,22,0,1,Suburban,Yes,No,Good,17.3,641067
H00175,3256,4,2,2,9,1,2,Rural,Yes,Yes,Average,16.4,701194
H00176,1098,4,3,3,0,0,4,Urban,Yes,No,Good,25.2,460515
H00177,2803,5,2,3,23,0,2,Rural,No,Yes,Good,11.8,608476
H00178,4110,2,3,1,4,3,2,Urban,Yes,Yes,Needs Renovation,22.1,969509
H00179,873,6,5,2,2,3,0,Rural,No,Yes,Good,20.7,346024
H00180,2445,1,3,2,17,1,4,Suburban,No,No,Good,23.9,560678
H00181,2503,1,4,1,13,3,0,Urban,No,No,Needs Renovation,6.6,645744
H00182,974,6,2,1,31,1,0,Rural,Yes,Yes,Good,4.8,340003
H00183,2525,2,5,1,32,2,0,Urban,Yes,No,Excellent,18.6,680418
H00184,1820,3,2,1,28,3,3,Urban,Yes,Yes,Needs Renovation,21.2,537759
H00185,3747,1,1,2,32,0,3,Urban,Yes,Yes,Good,4.4,880924
H00186,3960,5,3,2,4,0,4,Suburban,No,Yes,Good,26.9,907535
H00187,1966,2,5,1,36,2,3,Rural,Yes,No,Excellent,3.6,497758
H00188,1775,5,4,2,4,3,0,Suburban,Yes,Yes,Excellent,29.5,552377
H00189,2774,1,2,3,10,1,4,Rural,No,Yes,Needs Renovation,7.1,555177
H00190,3224,6,2,2,32,2,4,Rural,Yes,Yes,Good,3.8,756071
H00191,1840,1,1,1,28,1,4,Urban,No,Yes,Needs Renovation,6.6,497997
H00192,4028,6,1,1,1,0,2,Suburban,No,Yes,Good,22.4,910537
H00193,3753,1,5,2,12,1,3,Suburban,No,No,Excellent,3.9,889057
H00194,4727,5,5,1,24,2,2,Urban,No,No,Excellent,28.8,1097077
H00195,3157,6,3,2,20,3,0,Rural,Yes,Yes,Excellent,25.2,736036
H00196,3721,5,3,1,37,1,4,Urban,Yes,No,Average,2.4,915233
H00197,4450,6,2,3,18,3,0,Rural,No,No,Needs Renovation,7.2,883659
H00198,3887,1,5,3,9,2,2,Urban,No,No,Needs Renovation,4.5,893676
H00199,4730,4,2,1,30,3,4,Rural,Yes,Yes,Average,28.8,957732
H00200,4607,4,5,2,29,2,3,Urban,Yes,Yes,Excellent,2.8,1157348
H00201,2240,1,4,2,22,3,2,Suburban,No,No,Excellent,18.5,555285
H00202,1974,2,5,2,35,0,0,Urban,No,No,Average,3.6,541349
H00203,4701,5,3,2,7,3,3,Suburban,Yes,Yes,Average,21.7,1078169
H00204,988,5,3,1,17,0,3,Urban,Yes,No,Average,4.0,450533
H00205,2851,6,4,1,19,3,2,Suburban,Yes,Yes,Good,20.3,745870
H00206,826,2,3,1,19,3,1,Urban,No,Yes,Excellent,13.8,388332
H00207,4110,2,4,3,12,1,4,Urban,Yes,Yes,Needs Renovation,1.6,1000031
H00208,2516,1,3,1,7,1,2,Rural,Yes,Yes,Average,16.7,574120
H00209,3014,1,2,3,35,2,1,Rural,Yes,No,Needs Renovation,2.1,601950
H00210,3143,6,5,1,1,2,2,Suburban,Yes,Yes,Excellent,20.2,864587
H00211,1266,2,4,1,39,0,0,Urban,No,Yes,Average,8.8,423285
H00212,756,4,4,3,25,3,0,Suburban,Yes,Yes,Needs Renovation,9.2,304617
H00213,4772,3,3,3,15,2,2,Suburban,Yes,No,Average,25.7,993625
H00214,1188,1,4,3,14,0,4,Rural,Yes,No,Excellent,12.9,339634
H00215,4976,4,1,2,7,1,0,Urban,No,Yes,Good,8.0,1150192
H00216,2770,3,4,3,34,1,4,Suburban,No,No,Needs Renovation,14.4,621217
H00217,4290,1,2,2,11,0,2,Suburban,Yes,No,Average,18.2,879022
H00218,968,6,2,1,40,1,0,Suburban,No,Yes,Good,15.1,329201
H00219,4649,2,4,3,6,3,1,Urban,Yes,Yes,Good,25.9,1089418
H00220,3939,5,4,3,36,3,0,Urban,No,No,Needs Renovation,2.8,929607
H00221,4689,6,2,2,29,2,1,Urban,Yes,No,Average,14.6,1080506
H00222,2935,4,4,1,2,1,4,Urban,Yes,No,Good,21.6,807584
H00223,3954,6,3,1,34,0,2,Rural,No,No,Good,23.8,805068
H00224,3988,3,4,2,31,0,1,Rural,No,Yes,Good,24.0,804000
H00225,2811,3,2,1,2,3,3,Suburban,Yes,Yes,Good,18.5,728509
H00226,2992,2,2,1,32,0,1,Urban,No,Yes,Needs Renovation,21.2,674381
H00227,1317,5,4,2,3,3,0,Rural,No,Yes,Average,27.8,362246
H00228,2240,4,3,1,10,3,1,Rural,No,No,Good,28.6,506830
H00229,3725,3,3,1,34,2,3,Urban,No,No,Excellent,23.7,879534
H00230,3336,1,2,2,2,2,3,Rural,Yes,No,Excellent,5.5,748991
H00231,2114,6,1,1,24,1,3,Urban,Yes,Yes,Needs Renovation,6.1,611020
H00232,3399,6,1,2,29,0,3,Rural,Yes,No,Average,29.3,699445
H00233,2969,3,4,1,30,2,0,Rural,Yes,Yes,Average,1.5,691361
H00234,4953,6,2,1,18,2,4,Rural,No,Yes,Average,29.0,1012396
H00235,4074,1,5,2,18,1,4,Suburban,Yes,Yes,Needs Renovation,28.1,860814
H00236,1091,2,5,1,12,3,0,Urban,No,No,Average,14.3,411461
H00237,2402,6,5,3,16,1,3,Rural,No,Yes,Good,5.2,626051
H00238,3785,6,1,3,24,2,2,Urban,Yes,No,Needs Renovation,22.5,867747
H00239,4523,1,3,3,33,3,3,Urban,No,Yes,Excellent,15.4,1025548
H00240,2618,1,3,1,13,3,0,Urban,Yes,Yes,Average,25.5,664624
H00241,4948,1,4,3,36,2,1,Suburban,No,No,Excellent,29.5,1003075
H00242,3622,6,5,3,36,0,0,Rural,Yes,No,Good,6.3,800395
H00243,1205,3,1,3,17,1,0,Urban,No,Yes,Needs Renovation,8.5,383907
H00244,736,4,3,3,4,0,3,Urban,No,No,Excellent,4.3,400776
H00245,3348,5,3,3,37,1,4,Urban,Yes,Yes,Average,4.1,855247
H00246,2486,5,2,3,30,3,4,Urban,Yes,Yes,Excellent,5.8,776755
H00247,725,6,4,1,28,0,0,Rural,No,No,Good,4.7,269668
H00248,3499,6,1,2,21,2,0,Rural,Yes,No,Needs Renovation,4.6,745346
H00249,696,1,3,2,22,3,3,Suburban,Yes,Yes,Average,25.9,262308
H00250,4239,1,2,2,15,1,1,Rural,No,Yes,Needs Renovation,9.9,801083
H00251,2377,3,3,2,34,1,0,Rural,No,Yes,Average,23.1,495652
H00252,3321,3,4,1,8,3,3,Urban,No,No,Excellent,12.1,887582
H00253,1271,5,3,1,18,1,3,Urban,Yes,Yes,Average,23.2,469249
H00254,2742,2,4,1,7,2,4,Rural,No,No,Average,3.7,592992
H00255,3645,2,4,3,28,3,0,Urban,No,Yes,Needs Renovation,10.5,852848
H00256,824,4,4,3,19,2,3,Suburban,Yes,No,Average,19.5,350254
H00257,4224,2,5,1,6,2,2,Suburban,No,No,Excellent,28.8,949410
H00258,3429,1,4,1,19,3,3,Urban,No,Yes,Average,20.8,812402
H00259,4240,4,4,2,1,1,0,Urban,Yes,No,Needs Renovation,14.8,1002572
H00260,3940,4,5,3,6,0,2,Rural,Yes,Yes,Good,10.5,900239
H00261,2686,5,3,3,29,0,2,Rural,No,Yes,Excellent,10.0,644957
H00262,3700,4,1,1,36,2,0,Suburban,No,No,Average,7.4,787026
H00263,1893,2,5,1,8,2,0,Rural,Yes,Yes,Excellent,12.7,510486
H00264,2865,2,1,1,24,3,1,Urban,Yes,No,Average,18.0,688884
H00265,672,5,4,3,17,3,0,Urban,Yes,Yes,Excellent,20.6,449050
H00266,4617,6,3,3,15,1,2,Urban,Yes,Yes,Excellent,6.3,1168833
H00267,1358,1,1,3,8,2,1,Rural,Yes,No,Excellent,19.3,356530
H00268,3318,5,4,1,13,0,4,Urban,No,Yes,Needs Renovation,24.6,823340
H00269,1410,4,4,1,13,1,1,Urban,No,No,Good,26.0,479298
H00270,2593,4,4,2,27,1,1,Urban,Yes,No,Excellent,4.2,757933
H00271,1129,1,4,2,11,1,3,Rural,No,Yes,Excellent,14.5,332465
H00272,1384,1,3,2,16,1,1,Rural,Yes,No,Average,9.9,349498
H00273,821,2,3,2,37,2,2,Urban,No,No,Average,16.5,294837
H00274,2350,1,5,3,15,1,0,Urban,Yes,No,Needs Renovation,18.5,607697
H00275,755,3,3,2,37,0,1,Suburban,Yes,Yes,Average,13.6,297575
H00276,4251,5,3,3,30,3,3,Suburban,No,No,Average,16.2,927856
H00277,2966,5,2,2,8,0,1,Urban,No,Yes,Average,28.7,738281
H00278,1659,4,1,2,6,3,4,Suburban,No,No,Needs Renovation,2.0,453806
H00279,4649,2,2,2,12,2,2,Suburban,No,No,Good,17.7,968571
H00280,1254,6,2,1,36,0,1,Urban,Yes,No,Needs Renovation,2.7,416614
H00281,2575,6,3,1,28,1,3,Rural,Yes,Yes,Excellent,1.0,684315
H00282,3353,3,5,1,20,2,2,Suburban,No,Yes,Average,20.5,781014
H00283,1341,6,1,3,34,2,4,Suburban,No,Yes,Good,22.0,394346
H00284,2659,1,5,2,7,3,1,Rural,Yes,Yes,Average,14.6,606644
H00285,4158,1,4,3,30,3,2,Rural,No,No,Excellent,16.3,862933
H00286,2942,2,1,3,40,0,1,Rural,No,Yes,Average,13.6,556244
H00287,1080,2,2,2,37,2,3,Suburban,No,No,Needs Renovation,2.2,303059
H00288,3449,3,5,3,40,3,1,Urban,No,Yes,Excellent,16.6,854469
H00289,4187,3,1,1,38,0,0,Rural,Yes,Yes,Needs Renovation,10.3,794990
H00290,3838,6,2,3,20,0,1,Urban,Yes,No,Good,16.3,953296
H00291,3944,3,3,1,35,0,0,Urban,No,Yes,Average,13.1,908515
H00292,4357,1,4,2,4,3,1,Rural,No,Yes,Excellent,12.1,940364
H00293,1193,1,2,2,28,0,2,Rural,Yes,No,Average,29.6,254905
H00294,4217,2,2,2,16,1,3,Urban,No,Yes,Average,6.6,992136
H00295,2046,6,3,3,19,0,2,Suburban,Yes,No,Excellent,23.4,578754
H00296,3535,1,5,3,18,0,2,Urban,No,Yes,Needs Renovation,19.1,796328
H00297,1094,1,3,1,6,1,3,Rural,No,Yes,Needs Renovation,8.8,262480
H00298,626,2,1,3,10,0,2,Suburban,No,No,Excellent,2.2,280919
H00299,2724,4,5,1,12,0,2,Urban,Yes,Yes,Good,1.7,801523
H00300,3527,2,5,1,21,3,4,Urban,Yes,No,Excellent,11.1,928091
H00301,1752,2,3,3,12,2,4,Urban,Yes,Yes,Needs Renovation,1.4,567786
H00302,2824,5,4,1,31,3,4,Urban,Yes,Yes,Needs Renovation,24.4,722843
H00303,1350,3,3,2,16,0,3,Urban,Yes,Yes,Excellent,2.7,546284
H00304,3828,4,3,1,37,3,2,Suburban,No,Yes,Excellent,20.5,885580
H00305,3000,3,3,2,15,3,0,Urban,No,Yes,Good,9.9,778967
H00306,1703,3,2,3,6,0,1,Rural,Yes,Yes,Average,1.6,440574
H00307,3866,2,2,1,17,0,1,Suburban,Yes,No,Excellent,8.2,894897
H00308,1870,1,1,3,4,3,2,Rural,No,Yes,Needs Renovation,17.8,385195
H00309,1788,2,3,2,11,1,1,Rural,Yes,No,Good,11.4,427548
H00310,3328,1,3,3,31,0,3,Suburban,Yes,Yes,Excellent,12.6,773929
H00311,3608,6,2,3,23,1,2,Suburban,Yes,Yes,Average,23.9,840020
H00312,3578,4,3,1,28,2,3,Urban,Yes,Yes,Average,27.0,868856
H00313,2041,5,3,3,34,3,0,Urban,No,Yes,Excellent,23.6,617616
H00314,3177,4,1,3,25,1,3,Urban,No,Yes,Good,15.6,789683
H00315,1479,5,1,2,18,1,2,Suburban,No,No,Average,22.8,397241
H00316,4358,2,4,2,16,3,3,Urban,No,No,Excellent,11.9,1041021
H00317,1564,5,1,1,3,3,2,Suburban,No,Yes,Needs Renovation,16.6,429902
H00318,4625,1,5,1,10,2,4,Rural,No,Yes,Needs Renovation,24.0,888966
H00319,4330,4,4,2,9,1,2,Suburban,Yes,No,Needs Renovation,21.4,921041
H00320,1756,5,5,2,23,3,4,Urban,No,No,Average,25.3,562140
H00321,2854,6,4,1,36,1,4,Urban,No,Yes,Average,25.1,754191
H00322,908,2,5,1,12,0,1,Rural,No,No,Excellent,12.2,300126
H00323,1253,6,5,3,27,1,1,Suburban,No,No,Good,15.1,440354
H00324,4848,3,4,2,16,0,2,Rural,Yes,No,Good,22.4,987714
H00325,4653,1,2,1,8,0,4,Suburban,Yes,Yes,Excellent,26.8,1012192
H00326,4059,4,1,1,7,2,1,Rural,Yes,Yes,Average,26.6,831725
H00327,2835,4,4,2,9,0,3,Suburban,No,No,Excellent,5.4,720390
H00328,2252,4,4,2,2,2,3,Rural,No,No,Average,29.5,501798
H00329,4847,4,2,3,3,1,1,Urban,No,No,Good,18.0,1111671
H00330,2963,5,5,1,8,1,4,Rural,No,No,Excellent,18.3,696823
H00331,3572,1,5,1,17,1,4,Rural,Yes,Yes,Excellent,21.1,809135
H00332,1483,4,4,2,21,3,2,Rural,Yes,No,Average,6.6,430701
H00333,796,5,3,1,36,3,2,Rural,No,Yes,Excellent,6.3,311536
H00334,1141,4,1,2,28,0,1,Suburban,Yes,No,Good,21.5,347400
H00335,4257,3,5,1,21,3,0,Rural,No,No,Needs Renovation,24.5,806127
H00336,4144,6,5,2,5,3,1,Rural,No,Yes,Good,5.8,962065
H00337,623,6,5,2,21,0,0,Rural,Yes,No,Good,26.6,259224
